"rotadate","c1","c2","c3","c4","late","night","night2","night3","time_night","time_night2","n2_required","n2_ecmo","time_finish"
"2021-11-05","sf","dm","sw",\0,\0,"dm","sf",\0,"08:00",\0,"000","0",\0
"2021-11-06","sf","dm","sw",\0,\0,"sf","dm",\0,\0,"00:00",\0,\0,\0
"2021-11-07","sf","dm","sw",\0,\0,"sw","sf",\0,"04:00",\0,"000","0",\0
"2021-11-08","sf","pg","sas",\0,\0,"pg","sas",\0,"08:30","00:00","000","0",\0
"2021-11-09","sf","is","sas",\0,\0,"is","sf",\0,"06:00",\0,"000","0",\0
"2021-11-10","sf","pg","gw",\0,\0,"pg","gw",\0,"06:00","00:00","000","0",\0
"2021-11-11","sf","is","gw",\0,\0,"is","sf",\0,"05:00",\0,"000","0",\0
"2021-11-12","ajc","pg","sas",\0,\0,"pg","ajc",\0,"11:00","00:00","000","0",\0
"2021-11-13","ajc","pg","sas",\0,\0,"ajc","pg",\0,"10:00","00:30","001","1",\0
"2021-11-14","ajc","pg","sas",\0,\0,"sas","ajc",\0,"09:00","00:00","000","0",\0
"2021-11-15","ajc","is","la",\0,\0,"is","la",\0,"04:00","00:00","000","0",\0
"2021-11-16","ajc","jm","la",\0,\0,"jm","ajc",\0,"05:00","00:00","000","0",\0
"2021-11-17","ajc","is","la",\0,\0,"is","la",\0,"05:00","00:00","000","0",\0
"2021-11-18","ajc","jm","la",\0,\0,"jm","ajc",\0,"04:00","00:00","000","0",\0
"2021-11-19","ks","is","la",\0,\0,"is","ks",\0,"06:00","00:00","000","0",\0
"2021-11-20","ks","is","la",\0,\0,"ks","is",\0,"03:30","00:00","000","0",\0
"2021-11-21","ks","is","la",\0,\0,"la","ks",\0,"04:30","00:00","000","0",\0
"2021-11-22","ks","sf","im",\0,\0,"sf","im",\0,\0,"00:00",\0,\0,\0
"2021-11-23","ks","dm","im",\0,\0,"dm","ks",\0,"09:00","00:00","000","0",\0
"2021-11-24","ks","sf","im",\0,\0,"sf","im",\0,\0,"00:00",\0,\0,\0
"2021-11-25","ks","dm","im",\0,\0,"dm","ks",\0,"06:00","01:00","000","0",\0
"2021-11-26","al","sf","im",\0,\0,"sf","al",\0,\0,"00:00",\0,\0,\0
"2021-11-27","al","sf","im",\0,\0,"al","sf",\0,"07:30",\0,"000","0",\0
"2021-11-28","al","sf","im",\0,\0,"im","al",\0,"06:00","00:00","000","0",\0
"2021-11-29","al","dc","jm",\0,\0,"dc","jm",\0,"09:30","00:00","000","0",\0
"2021-11-30","al","ajc","jm",\0,\0,"ajc","al",\0,"09:00","00:00","000","0",\0
"2021-12-01","al","dc","jm",\0,\0,"dc","jm",\0,"08:00","00:00","000","0",\0
"2021-12-02","al","ajc","jm",\0,\0,"ajc","al",\0,"06:00","00:00","000","0",\0
"2021-12-03","pg","dc","jm",\0,\0,"dc","pg",\0,"08:30","00:00","000","0",\0
"2021-12-04","pg","dc","jm",\0,\0,"pg","dc",\0,"06:00","01:00","000","0",\0
"2021-12-05","pg","dc","jm",\0,\0,"jm","pg",\0,"06:00","00:00","000","0",\0
"2021-12-06","pg","la","dm",\0,\0,"la","dm",\0,"04:00","00:00","000","0",\0
"2021-12-07","pg","sw","dm",\0,\0,"sw","pg",\0,"05:00","00:00","000","0",\0
